timestamp,packet_count
1618488037,28655
1618488038,28775
1618488039,28440
1618488040,28957
1618488041,28710
1618488042,28730
1618488043,28707
1618488044,28567
1618488045,28689
1618488046,28988
1618488047,28936
1618488048,28837
1618488049,29159
1618488050,29167
1618488051,28542
1618488052,28608
1618488053,29340
1618488054,28828
1618488055,28595
1618488056,29181
1618488057,28879
1618488058,28528
1618488059,28961
1618488060,28796
1618488061,28881
1618488062,29068
1618488063,29020
1618488064,28994
1618488065,28998
1618488066,28824
1618488067,29182
1618488068,29184
1618488069,28910
1618488070,5057
1618509600,28276
1618509601,28096
1618509602,28949
1618509603,28420
1618509604,27979
1618509605,28602
1618509606,28797
1618509607,28984
1618509608,29095
1618509609,29056
1618509610,29364
1618509611,28993
1618509612,29103
1618509613,29586
1618509614,29611
1618509615,29812
1618509616,30105
1618509617,30555
1618509618,31390
1618509619,31345
1618509620,31339
1618509621,31719
1618509622,31239
1618509623,31204
1618509624,30912
1618509625,30435
1618509626,30610
1618509627,30040
1618509628,29750
1618509629,29465
1618509630,30047
1618509631,28761
1618509632,29320
1618509633,29993
1618509634,29718
1618509635,29803
1618509636,30346
1618509637,30620
1618509638,30308
1618509639,31071
1618509640,30507
1618509641,30306
1618509642,31420
1618509643,30856
1618509644,31561
1618509645,31767
1618509646,31398
1618509647,31318
1618509648,31342
1618509649,30913
1618509650,30658
1618509651,31207
1618509652,30775
1618509653,31301
1618509654,30755
1618509655,30329
1618509656,30512
1618509657,30299
1618509658,30903
1618509659,31290
1618509660,31096
1618509661,30936
1618509662,31003
1618509663,31363
1618509664,30950
1618509665,31208
1618509666,1209
1621036800,42040
1621036801,41351
1621036802,41664
1621036803,41545
1621036804,41529
1621036805,41649
1621036806,41612
1621036807,41606
1621036808,41624
1621036809,41625
1621036810,41618
1621036811,41518
1621036812,41588
1621036813,41770
1621036814,41615
1621036815,41452
1621036816,41656
1621036817,42047
1621036818,42152
1621036819,42099
1621036820,42403
1621036821,42078
1621036822,42348
1621036823,42437
1621036824,42552
1621036825,42150
1621036826,42695
1621036827,42191
1621036828,42289
1621036829,42460
1621036830,42347
1621036831,42018
1621036832,42457
1621036833,42359
1621036834,42616
1621036835,42420
1621036836,42166
1621036837,42094
1621036838,42087
1621036839,42034
1621036840,41900
1621036841,42087
1621036842,41885
1621036843,42140
1621036844,41991
1621036845,41995
1621036846,42278
1621036847,25763
1621058400,41887
1621058401,41701
1621058402,41824
1621058403,41776
1621058404,41973
1621058405,41795
1621058406,41875
1621058407,41838
1621058408,41985
1621058409,41740
1621058410,41828
1621058411,41831
1621058412,41969
1621058413,35061
1621058414,43081
1621058415,42578
1621058416,42967
1621058417,42450
1621058418,42546
1621058419,42568
1621058420,42861
1621058421,42957
1621058422,42284
1621058423,41744
1621058424,41691
1621058425,42016
1621058426,41950
1621058427,41847
1621058428,41661
1621058429,41727
1621058430,41758
1621058431,41668
1621058432,41787
1621058433,41792
1621058434,41501
1621058435,41968
1621058436,41786
1621058437,41752
1621058438,41707
1621058439,41953
1621058440,41671
1621058441,41772
1621058442,41696
1621058443,41681
1621058444,41694
1621058445,41697
1621058446,41504
1621058447,34602
1621080000,38321
1621080001,38943
1621080002,39464
1621080003,37812
1621080004,39487
1621080005,39458
1621080006,37736
1621080007,39438
1621080008,39464
1621080009,34632
1621080010,35439
1621080011,35562
1621080012,35595
1621080013,35969
1621080014,35876
1621080015,35676
1621080016,36005
1621080017,35770
1621080018,36185
1621080019,37287
1621080020,36766
1621080021,36745
1621080022,36841
1621080023,36960
1621080024,36935
1621080025,37538
1621080026,37097
1621080027,37388
1621080028,37807
1621080029,37600
1621080030,37713
1621080031,39902
1621080032,43170
1621080033,41135
1621080034,38271
1621080035,38011
1621080036,38867
1621080037,38548
1621080038,38079
1621080039,37425
1621080040,37904
1621080041,37860
1621080042,38565
1621080043,38018
1621080044,38534
1621080045,38780
1621080046,38053
1621080047,37858
1621080048,37928
1621080049,38338
1621080050,37784
1621080051,39724
1621080052,33737
1621101600,40962
1621101601,41065
1621101602,40180
1621101603,40487
1621101604,40893
1621101605,40754
1621101606,40755
1621101607,40885
1621101608,40244
1621101609,40548
1621101610,40382
1621101611,40774
1621101612,41150
1621101613,41682
1621101614,40972
1621101615,41089
1621101616,41199
1621101617,40942
1621101618,41216
1621101619,41791
1621101620,41440
1621101621,41145
1621101622,41053
1621101623,41725
1621101624,71416
1621101625,63297
1621101626,63951
1621101627,64458
1621101628,51885
1621101629,40580
1621101630,41129
1621101631,40322
1621101632,40672
1621101633,40176
1621101634,40723
1621101635,40615
1621101636,40817
1621101637,40616
1621101638,40940
1621101639,40723
1621101640,40551
1621101641,41329
1621101642,41147
1621101643,41646
1621101644,41464
1621101645,41138
1621101646,7072
1623715200,29920
1623715201,29489
1623715202,30083
1623715203,29564
1623715204,30028
1623715205,30230
1623715206,30208
1623715207,30337
1623715208,30011
1623715209,30042
1623715210,30290
1623715211,30395
1623715212,29803
1623715213,30155
1623715214,30136
1623715215,29838
1623715216,29910
1623715217,29988
1623715218,29919
1623715219,29716
1623715220,29909
1623715221,30399
1623715222,31550
1623715223,31365
1623715224,32365
1623715225,33173
1623715226,32443
1623715227,32339
1623715228,33960
1623715229,33814
1623715230,33659
1623715231,33587
1623715232,32799
1623715233,33491
1623715234,33320
1623715235,33726
1623715236,33070
1623715237,33293
1623715238,32780
1623715239,31755
1623715240,34219
1623715241,33469
1623715242,33166
1623715243,33192
1623715244,33790
1623715245,34240
1623715246,34316
1623715247,33982
1623715248,33932
1623715249,33724
1623715250,33378
1623715251,34485
1623715252,33880
1623715253,33585
1623715254,33475
1623715255,34378
1623715256,33906
1623715257,31938
1623715258,32400
1623715259,32023
1623715260,31888
1623715261,32367
1623715262,11408
1623736800,35127
1623736801,34537
1623736802,33443
1623736803,34404
1623736804,35638
1623736805,35170
1623736806,34867
1623736807,33820
1623736808,35787
1623736809,35719
1623736810,35707
1623736811,34877
1623736812,33702
1623736813,35382
1623736814,34684
1623736815,34210
1623736816,33876
1623736817,33742
1623736818,33520
1623736819,35457
1623736820,35274
1623736821,35138
1623736822,34894
1623736823,35769
1623736824,35723
1623736825,34456
1623736826,33486
1623736827,33804
1623736828,33485
1623736829,33432
1623736830,34070
1623736831,33719
1623736832,33520
1623736833,34095
1623736834,33517
1623736835,33383
1623736836,35544
1623736837,36830
1623736838,35365
1623736839,34823
1623736840,34991
1623736841,36478
1623736842,36693
1623736843,36333
1623736844,35488
1623736845,35806
1623736846,34905
1623736847,35242
1623736848,36954
1623736849,36426
1623736850,35928
1623736851,35111
1623736852,34669
1623736853,34813
1623736854,34672
1623736855,35153
1623736856,34192
1623736857,12150
1623758400,33439
1623758401,34134
1623758402,34791
1623758403,35295
1623758404,34427
1623758405,34877
1623758406,34887
1623758407,33384
1623758408,34210
1623758409,35747
1623758410,35590
1623758411,35590
1623758412,35976
1623758413,35752
1623758414,36333
1623758415,34732
1623758416,33808
1623758417,33659
1623758418,33792
1623758419,33216
1623758420,33371
1623758421,33865
1623758422,34286
1623758423,34200
1623758424,34996
1623758425,34407
1623758426,34404
1623758427,34580
1623758428,34723
1623758429,34414
1623758430,33952
1623758431,34493
1623758432,34318
1623758433,34303
1623758434,34170
1623758435,34146
1623758436,35822
1623758437,34371
1623758438,34275
1623758439,34088
1623758440,34327
1623758441,34107
1623758442,33437
1623758443,35330
1623758444,34481
1623758445,33944
1623758446,33821
1623758447,34443
1623758448,33914
1623758449,33954
1623758450,34199
1623758451,33634
1623758452,33478
1623758453,33251
1623758454,33337
1623758455,33718
1623758456,33433
1623758457,33430
1623758458,8939
1623780000,33063
1623780001,31621
1623780002,30153
1623780003,30967
1623780004,31243
1623780005,30798
1623780006,31047
1623780007,31743
1623780008,31109
1623780009,31089
1623780010,31084
1623780011,31258
1623780012,31805
1623780013,31374
1623780014,31378
1623780015,30988
1623780016,30745
1623780017,31152
1623780018,31150
