timestamp,packet_count
1744675232,50020
1744675233,50333
1744675234,49414
1744675235,49859
1744675236,49646
1744675237,49495
1744675238,45921
1744696800,54616
1744696801,54615
1744696802,53543
1744696803,53622
1744696804,54808
1744696805,53853
1744696806,55265
1744696807,54137
1744696808,55500
1744696809,54977
1744696810,57147
1744696811,55772
1744696812,55917
1744696813,54159
1744696814,56069
1744696815,55371
1744696816,55702
1744696817,55086
1744696818,55271
1744696819,55906
1744696820,55701
1744696821,54967
1744696822,54782
1744696823,54060
1744696824,53632
1744696825,53357
1744696826,53459
1744696827,53332
1744696828,53767
1744696829,54671
1744696830,54681
1744696831,52518
1744696832,50426
1744696833,50746
1744696834,50061
1744696835,50289
1744696836,48215
1744718400,45129
1744718401,45544
1744718402,44787
1744718403,45266
1744718404,44970
1744718405,45108
1744718406,44963
1744718407,45446
1744718408,41588
1744718409,39348
1744718410,40048
1744718411,39110
1744718412,39336
1744718413,39838
1744718414,39710
1744718415,39418
1744718416,39630
1744718417,39214
1744718418,39475
1744718419,39269
1744718420,39528
1744718421,39155
1744718422,39169
1744718423,39990
1744718424,39374
1744718425,39910
1744718426,39112
1744718427,39798
1744718428,44644
1744718429,45391
1744718430,44950
1744718431,44516
1744718432,44454
1744718433,43852
1744718434,43885
1744718435,44170
1744718436,45873
1744718437,46092
1744718438,46515
1744718439,46492
1744718440,45964
1744718441,46006
1744718442,46173
1744718443,47005
1744718444,47341
1744718445,46865
1744718446,26579
1744740000,41189
1744740001,41517
1744740002,41230
1744740003,41546
1744740004,40498
1744740005,40977
1744740006,40457
1744740007,40752
1744740008,41248
1744740009,41240
1744740010,41355
1744740011,41243
1744740012,41691
1744740013,41049
1744740014,40341
1744740015,40567
1744740016,40901
1744740017,41102
1744740018,40854
1744740019,40542
1744740020,40261
1744740021,40288
1744740022,40817
1744740023,40834
1744740024,41175
1744740025,40726
1744740026,41472
1744740027,40452
1744740028,42446
1744740029,42190
1744740030,40794
1744740031,41606
1744740032,42018
1744740033,42229
1744740034,41951
1744740035,42369
1744740036,42013
1744740037,44772
1744740038,46443
1744740039,45130
1744740040,43096
1744740041,43057
1744740042,41403
1744740043,41358
1744740044,41565
1744740045,41417
1744740046,41755
1744740047,41364
1744740048,4700
1747267200,47638
1747267201,47954
1747267202,47199
1747267203,47320
1747267204,48212
1747267205,47949
1747267206,47646
1747267207,47668
1747267208,47790
1747267209,47980
1747267210,48034
1747267211,48303
1747267212,48513
1747267213,47734
1747267214,47486
1747267215,47759
1747267216,47530
1747267217,47638
1747267218,47881
1747267219,48249
1747267220,47977
1747267221,48244
1747267222,48242
1747267223,47662
1747267224,47755
1747267225,47950
1747267226,47002
1747267227,47075
1747267228,47263
1747267229,46803
1747267230,46534
1747267231,47554
1747267232,46859
1747267233,47872
1747267234,47387
1747267235,47192
1747267236,47569
1747267237,47236
1747267238,47429
1747267239,48025
